previous_operator_utterance,operator_utterance,negative_utterance
オペレーター: そうですよね。いいですよね、こちらね。,オペレーター: 踊り？アイヌの伝統儀式とか踊りを通じて、アイヌ文化の継承に、つ、努めているって書いてありますね。,カスタマー: うんうんうん。
オペレーター: こちら、<>水洗トイレも完備されていて、すごく清潔な、且つ安全な、マリン<>となっております。,オペレーター: こちらがよく一応、ツアーみたいな感じで、行く、場所になってる。,カスタマー: 個人じゃ、行けなそうな、感じですね。
オペレーター: ヒレとロースを一度に味わえる黒かつ亭定食のほか、お持ち帰り用にはカツサンドの、なんかもあるみたいですね。,オペレーター: こちらすごい美味しそう、美味しそう<>写真をすごい見せられないのが非常に残念なんですけど。,カスタマー: あっはっは、
オペレーター: なので、,オペレーター: 工場の中で作られたところの、を、そこでお店で売っているみたいなかたちなんですよ。立ち寄るって…。,カスタマー: 工場兼お店？
オペレーター: あと、ロープウェイ。,オペレーター: なんかも、ありますね、あとは、やっぱり森林公園、というようなものが、けっこういくつかあるみたいで。,カスタマー: けっこうあるんですね、そっかぁ、ロープウェイって初めて聞きました、どんな、とこにあってどんな感じなんですかね？
オペレーター: こちら、おすすめではありますね。,オペレーター: あとどうしましょう、なにかしたいことってあります？,カスタマー: あれってだいたい所要時間どれぐらいなんですか？歩くんですか？そこらへんを。
オペレーター: こちらは見た目がですね、昭和チックなお店で。,オペレーター: 梅田スカイビル、地下1階にございましてー。,カスタマー: それってさっきの展望台のビルでしたっけ？スカイビル、別でしたっけ？
オペレーター: こういった有名店だからいいやという感じもあるかもしれませんし,オペレーター: いかがですか,カスタマー: <>かしこまりました
オペレーター: なおかつ、160のショップがあってレストランもあるっていう。もう何でもありっていう感じなんですけど。,オペレーター: いかがですかね。,カスタマー: じゃあ、作ってたところのなご、名残みたいなのが置いてあるんですか。
オペレーター: それ面白そうだなって、私が見ても。,オペレーター: お子さまから見ても、多分楽しめるんじゃないかなって思われるんですけど。,カスタマー: じゃ、立ち寄ってみたいですよね。
